Log4j:[2016-04-11 08:14:21]  INFO DruidDataSource:638 - {dataSource-1} inited
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/css/style.css] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/css/style-responsive.css] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/css/bootstrap.min.css] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/jquery-1.9.1.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/css/bootstrap-datetimepicker.min.css] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/jquery-ui-1.9.2.custom.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/jquery-migrate-1.2.1.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/scripts.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/validate/jquery.validate.custom.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/library/json2.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/bootstrap.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/modernizr.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/library/qrcode.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/validate/jquery.validate.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/bootstrap-datetimepicker.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:19:45]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/jquery.nicescroll.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:16]  WARN PageNotFound:198 - Request method 'GET' not supported
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/css/style.css] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/jquery-migrate-1.2.1.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/jquery-ui-1.9.2.custom.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/jquery-1.9.1.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/css/bootstrap-datetimepicker.min.css] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/css/style-responsive.css] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/bootstrap.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/modernizr.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/jquery.nicescroll.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/css/bootstrap.min.css] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/bootstrap-datetimepicker.min.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/library/json2.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/scripts.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/validate/jquery.validate.custom.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/validate/jquery.validate.js] in DispatcherServlet with name 'dispatcherServlet'
Log4j:[2016-04-11 08:20:26]  WARN PageNotFound:1110 - No mapping found for HTTP request with URI [/Shand2016/resources/js/library/qrcode.js] in DispatcherServlet with name 'dispatcherServlet'
